electoral_district,name,voters,color_id,color
129,Московская область – Щёлковский одномандатный избирательный округ,461286,1,#2f4f4f
130,Мурманская область – Мурманский одномандатный избирательный округ,542247,11,#00ffff
131,Нижегородская область – Нижегородский одномандатный избирательный округ,468305,14,#6495ed
132,Нижегородская область – Приокский одномандатный избирательный округ,498220,10,#00fa9a
133,Нижегородская область – Автозаводский одномандатный избирательный округ,525132,15,#ee82ee
134,Нижегородская область – Канавинский одномандатный избирательный округ,491344,13,#ff00ff
135,Нижегородская область – Борский одномандатный избирательный округ,487347,1,#2f4f4f
136,Новгородская область – Новгородский одномандатный избирательный округ,469723,14,#6495ed
137,Новосибирская область – Новосибирский одномандатный избирательный округ,540373,15,#ee82ee
138,Новосибирская область – Центральный одномандатный избирательный округ,559976,9,#7fff00
139,Новосибирская область – Искитимский одномандатный избирательный округ,521089,1,#2f4f4f
140,Новосибирская область – Барабинский одномандатный избирательный округ,558847,3,#008000
141,Омская область –  Омский одномандатный избирательный округ,482720,3,#008000
142,Омская область – Москаленский одномандатный избирательный округ,517744,14,#6495ed
143,Омская область – Любинский одномандатный избирательный округ,455681,1,#2f4f4f
144,Оренбургская область – Оренбургский одномандатный избирательный округ,514836,12,#0000ff
145,Оренбургская область – Бугурусланский одномандатный избирательный округ,513675,10,#00fa9a
146,Оренбургская область – Орский одномандатный избирательный округ,474846,15,#ee82ee
147,Орловская область – Орловский одномандатный избирательный округ,593123,2,#8b4513
148,Пензенская область – Пензенский одномандатный избирательный округ,490604,1,#2f4f4f
149,Пензенская область – Лермонтовский одномандатный избирательный округ,511795,13,#ff00ff
150,Псковская область – Псковский одномандатный избирательный округ,498891,2,#8b4513
151,Ростовская область – Ростовский одномандатный избирательный округ,536472,5,#b03060
152,Ростовская область – Батайский одномандатный избирательный округ,525654,2,#8b4513
153,Ростовская область – Новочеркасский одномандатный избирательный округ,525617,4,#00008b
154,Ростовская область – Неклиновский одномандатный избирательный округ,510378,14,#6495ed
155,Ростовская область – Белокалитвинский одномандатный избирательный округ,527563,6,#ff0000
156,Ростовская область –  Усть-Донецкий одномандатный избирательный округ,528503,3,#008000
157,Рязанская область – Рязанский одномандатный избирательный округ,433604,11,#00ffff
158,Рязанская область – Скопинский одномандатный избирательный округ,439222,4,#00008b
159,Самарская область – Самарский одномандатный избирательный округ,501850,5,#b03060
160,Самарская область – Тольяттинский одномандатный избирательный округ,475546,8,#ffff00
161,Самарская область – Красноглинский одномандатный избирательный округ,476054,12,#0000ff
162,Самарская область – Жигулевский одномандатный избирательный округ,454818,6,#ff0000
163,Самарская область – Промышленный одномандатный избирательный округ,487951,15,#ee82ee
164,Саратовская область – Саратовский одномандатный избирательный округ,477579,2,#8b4513
165,Саратовская область – Балаковский одномандатный избирательный округ,467953,13,#ff00ff
166,Саратовская область – Балашовский одномандатный избирательный округ,429521,3,#008000
167,Саратовская область – Энгельсский одномандатный избирательный округ,460064,1,#2f4f4f
168,Сахалинская область – Сахалинский одномандатный избирательный округ,372930,1,#2f4f4f
169,Свердловская область – Свердловский одномандатный избирательный округ,483053,4,#00008b
170,Свердловская область – Каменск-Уральский одномандатный избирательный округ,483458,7,#ffa500
171,Свердловская область – Березовский одномандатный избирательный округ,494315,2,#8b4513
172,Свердловская область – Нижнетагильский одномандатный избирательный округ,468670,8,#ffff00
173,Свердловская область – Асбестовский одномандатный избирательный округ,485572,13,#ff00ff
174,Свердловская область – Первоуральский одномандатный избирательный округ,452866,14,#6495ed
175,Свердловская область – Серовский одномандатный избирательный округ,461130,15,#ee82ee
176,Смоленская область – Смоленский одномандатный избирательный округ,725286,6,#ff0000
177,Тамбовская область – Тамбовский одномандатный избирательный округ,791202,1,#2f4f4f
178,Тверская область –  Тверской одномандатный избирательный округ,499971,3,#008000
179,Тверская область – Заволжский одномандатный избирательный округ,500866,7,#ffa500
180,Томская область – Томский одномандатный избирательный округ,748764,14,#6495ed
181,Тульская область –  Тульский одномандатный избирательный округ,558448,3,#008000
182,Тульская область – Новомосковский одномандатный избирательный округ,571541,5,#b03060
183,Тюменская область – Тюменский одномандатный избирательный округ,552769,4,#00008b
184,Тюменская область – Заводоуковский одномандатный избирательный округ,622649,7,#ffa500
185,Ульяновская область – Ульяновский одномандатный избирательный округ,467265,7,#ffa500
186,Ульяновская область – Радищевский одномандатный избирательный округ,471380,15,#ee82ee
187,Херсонская область – Херсонский одномандатный избиртельный округ,381319,1,#2f4f4f
188,Челябинская область – Челябинский одномандатный избирательный округ,502682,8,#ffff00
189,Челябинская область – Металлургический одномандатный избирательный округ,517816,2,#8b4513
190,Челябинская область – Коркинский одномандатный избирательный округ,514477,9,#7fff00
191,Челябинская область – Магнитогорский одномандатный избирательный округ,540360,10,#00fa9a
192,Челябинская область – Златоустовский одномандатный избирательный округ,502195,10,#00fa9a
193,Ярославская область – Ярославский одномандатный избирательный округ,515903,13,#ff00ff
194,Ярославская область – Ростовский одномандатный избирательный округ,471720,10,#00fa9a
195,Город Москва – Бабушкинский одномандатный избирательный округ,512442,3,#008000
196,Город Москва –  Кунцевский одномандатный избирательный округ,449096,10,#00fa9a
197,Город Москва – Ленинградский одномандатный избирательный округ,508107,4,#00008b
198,Город Москва – Люблинский одномандатный избирательный округ,517936,11,#00ffff
199,Город Москва – Медведковский одномандатный избирательный округ,472624,13,#ff00ff
200,Город Москва – Нагатинский одномандатный избирательный округ,483113,5,#b03060
201,Город Москва – Новомосковский одномандатный избирательный округ,479653,14,#6495ed
202,Город Москва –  Орехово-Борисовский одномандатный избирательный округ,509161,12,#0000ff
203,Город Москва –  Перовский одномандатный избирательный округ,532589,2,#8b4513
204,Город Москва – Преображенский одномандатный избирательный округ,462252,6,#ff0000
205,Город Москва –  Тушинский одномандатный избирательный округ,480745,15,#ee82ee
206,Город Москва –  Ховринский одномандатный избирательный округ,475584,11,#00ffff
207,Город Москва – Центральный одномандатный избирательный округ,478682,1,#2f4f4f
208,Город Москва – Черемушкинский одномандатный избирательный округ,504345,7,#ffa500
209,Город Москва – Чертановский одномандатный избирательный округ,458960,9,#7fff00
210,Город Москва –  Солнцевский одномандатный избирательный округ,473120,8,#ffff00
211,Город Санкт-Петербург – Восточный одномандатный избирательный округ,511709,4,#00008b
212,Город Санкт-Петербург – Западный одномандатный избирательный округ,449087,1,#2f4f4f
213,Город Санкт-Петербург – Северный одномандатный избирательный округ,501591,5,#b03060
